net,length_um
_388_,244.4µm
net21,198.17µm
_347_,191.21µm
_341_,183.49µm
_364_,178.05µm
net25,176.88µm
net66,171.905µm
_076_,170.59µm
_031_,169.1µm
_345_,167.3µm
net19,167.12µm
_349_,163.38µm
net22,160.13µm
_051_,155.725µm
_032_,155.24µm
_026_,153.66µm
net20,143.475µm
_363_,141.8µm
net31,140.2µm
_390_,137.325µm
_052_,134.82µm
net32,132.28µm
net24,131.26µm
net30,129.62µm
net29,128.33µm
_045_,125.14µm
_018_,119.62µm
_142_,118.36µm
net23,115.8µm
_351_,113.22µm
net28,110.58µm
_361_,108.51µm
_037_,107.1µm
tcount\[2\],106.39µm
net64,105.96µm
net57,105.25µm
net71,104.14µm
net44,104.13µm
_360_,104µm
_371_,103.46µm
_348_,100.65µm
_372_,100.58µm
net70,99.48µm
net41,99.12µm
net59,97.335µm
net26,97.26µm
_067_,96.77µm
net46,96.02µm
net52,95.79µm
_069_,95.245µm
net34,92.18µm
net49,91.87µm
net27,91.36µm
net54,91.07µm
net68,89.59µm
net38,89.5µm
net72,89.34µm
_063_,87.97µm
net67,87.785µm
net61,87.7µm
_072_,87.59µm
net60,86.93µm
_042_,86.865µm
net43,86.4µm
tcount\[6\],84.84µm
_355_,83.68µm
net39,83.28µm
_346_,83.06µm
_376_,82.38µm
net62,82.27µm
_380_,80.59µm
_389_,80.03µm
net42,79.96µm
net50,79.15µm
net33,76.44µm
net48,75.03µm
_339_,74.46µm
_367_,74.26µm
net47,73.575µm
net55,73.38µm
_294_,72.95µm
tcount\[1\],71.73µm
net45,71.64µm
net63,71.195µm
_342_,71.04µm
_377_,70.78µm
_028_,70.57µm
net36,69.32µm
_359_,67.7µm
_384_,67.4µm
_357_,67.24µm
net58,66.93µm
_284_,66.8µm
_000_,66.29µm
net56,65.72µm
_001_,65.38µm
_029_,64.98µm
_331_,64.16µm
net35,64.08µm
net51,64.005µm
_036_,62.65µm
_156_,61.82µm
net37,60.57µm
net65,58.88µm
_022_,58.745µm
net40,58.28µm
_292_,56.53µm
_065_,56.05µm
_385_,53.89µm
_353_,53.3µm
_134_,52.32µm
_092_,52.19µm
_337_,51.66µm
_344_,51.52µm
_039_,50.885µm
_204_,48.7µm
_366_,47.56µm
_066_,47.35µm
_057_,46.3µm
_091_,46.23µm
net53,46.1µm
tcount\[0\],46µm
_340_,44.74µm
_238_,44.1µm
clknet_1_0__leaf_clk,44.06µm
_311_,43.88µm
_369_,42.52µm
net69,41.54µm
net1,41µm
_019_,40.92µm
_060_,40.34µm
_148_,39.55µm
_107_,37.62µm
_183_,37.02µm
_090_,36.9µm
_356_,36.82µm
_198_,35.88µm
_202_,35.16µm
_306_,34.9µm
_040_,34.78µm
_121_,34.34µm
_236_,34.34µm
_020_,34.02µm
_025_,33.56µm
_291_,33.36µm
_278_,32.68µm
_354_,32.535µm
_105_,32.13µm
_172_,31.96µm
_194_,31.72µm
clknet_0_clk,31.68µm
_373_,30.5µm
_193_,30.38µm
_130_,30.08µm
_085_,29.6µm
_289_,29.48µm
_161_,28.78µm
net18,28.32µm
_325_,26.42µm
_049_,26.26µm
_139_,26.18µm
_129_,25.94µm
_178_,25.52µm
_104_,25.36µm
_220_,25.22µm
net9,24.94µm
_259_,24.9µm
_260_,24.82µm
net2,24.82µm
_375_,23.85µm
_054_,23.76µm
_141_,23.76µm
_185_,23.66µm
_083_,23.56µm
_379_,23.18µm
_027_,23.14µm
_197_,22.72µm
_038_,21.91µm
_123_,21.88µm
_383_,21.88µm
_082_,21.72µm
_023_,21.64µm
_086_,21.58µm
_126_,21.52µm
_106_,21.5µm
_258_,21µm
_048_,20.76µm
_033_,20.02µm
_295_,19.88µm
_272_,19.54µm
clknet_1_1__leaf_clk,19.46µm
_112_,19.3µm
_120_,19.16µm
_003_,18.88µm
_111_,18.575µm
clk,18.55µm
_101_,18.54µm
_162_,18.48µm
_277_,18.02µm
_179_,17.86µm
_251_,17.62µm
_307_,17.48µm
_047_,17.33µm
_241_,16.68µm
_159_,16.44µm
_207_,16.44µm
_343_,16.38µm
net11,15.86µm
_225_,15.72µm
_174_,15.68µm
_189_,15.34µm
_239_,15.34µm
_232_,15.29µm
sine_out[4],14.9µm
_093_,14.68µm
_334_,14.68µm
_274_,14.5µm
_144_,14.3µm
tcount\[7\],14.14µm
_089_,13.86µm
_013_,13.83µm
_043_,13.58µm
_249_,13.54µm
_071_,13.3µm
_103_,13.18µm
_319_,13.1µm
_062_,13.08µm
_223_,12.94µm
_288_,12.86µm
_309_,12.86µm
sine_out[13],12.6µm
_184_,12.28µm
_021_,12.26µm
_250_,12.12µm
_308_,12.08µm
net3,11.94µm
_262_,11.72µm
_108_,11.7µm
_074_,11.68µm
sine_out[0],11.68µm
sine_out[12],11.68µm
sine_out[14],11.68µm
sine_out[15],11.68µm
_151_,11.66µm
tcount\[3\],11.28µm
_096_,11.12µm
net4,11µm
_132_,10.9µm
_330_,10.82µm
_264_,10.74µm
