Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_30_181,VGND,li1,89.7000,92.4800,0.000072
FILLER_30_169,VGND,li1,86.0200,92.4800,0.000072
FILLER_30_165,VGND,li1,82.1100,92.4800,0.000072
FILLER_30_141,VGND,li1,71.3000,92.4800,0.000066
FILLER_30_131,VGND,li1,66.0100,92.4800,0.000060
FILLER_30_125,VGND,li1,64.4000,92.4800,0.000057
FILLER_30_113,VGND,li1,60.2600,92.4800,0.000052
FILLER_30_105,VGND,li1,54.5100,92.4800,0.000047
FILLER_30_98,VGND,li1,51.2900,92.4800,0.000043
FILLER_30_93,VGND,li1,48.5300,92.4800,0.000040
FILLER_30_85,VGND,li1,46.4600,92.4800,0.000037
FILLER_30_77,VGND,li1,41.6300,92.4800,0.000032
FILLER_30_69,VGND,li1,38.1800,92.4800,0.000027
FILLER_30_57,VGND,li1,34.5000,92.4800,0.000023
FILLER_30_53,VGND,li1,30.5900,92.4800,0.000018
FILLER_30_41,VGND,li1,27.1400,92.4800,0.000014
FILLER_30_29,VGND,li1,21.6200,92.4800,0.000012
FILLER_30_27,VGND,li1,18.1700,92.4800,0.000012
FILLER_30_15,VGND,li1,15.1800,92.4800,0.000012
FILLER_30_3,VGND,li1,9.6600,92.4800,0.000012
FILLER_29_181,VGND,li1,89.7000,92.4800,0.000072
FILLER_29_169,VGND,li1,86.0200,92.4800,0.000072
FILLER_29_167,VGND,li1,82.5700,92.4800,0.000072
FILLER_29_163,VGND,li1,81.4200,92.4800,0.000072
FILLER_29_139,VGND,li1,69.6900,92.4800,0.000063
FILLER_29_123,VGND,li1,63.0200,92.4800,0.000057
FILLER_29_111,VGND,li1,56.8100,92.4800,0.000050
FILLER_29_98,VGND,li1,51.5200,92.4800,0.000043
FILLER_29_92,VGND,li1,48.0700,92.4800,0.000037
FILLER_29_69,VGND,li1,37.4900,92.4800,0.000027
FILLER_29_57,VGND,li1,34.5000,92.4800,0.000023
FILLER_29_55,VGND,li1,31.0500,92.4800,0.000018
FILLER_29_51,VGND,li1,29.9000,92.4800,0.000018
FILLER_29_39,VGND,li1,26.2200,92.4800,0.000012
FILLER_29_27,VGND,li1,20.7000,92.4800,0.000012
