Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_30_181,VPWR,li1,89.7000,95.2000,1.799962
FILLER_30_169,VPWR,li1,86.0200,95.2000,1.799962
FILLER_30_165,VPWR,li1,82.1100,95.2000,1.799962
FILLER_30_141,VPWR,li1,71.3000,95.2000,1.799965
FILLER_30_131,VPWR,li1,66.0100,95.2000,1.799969
FILLER_30_125,VPWR,li1,64.4000,95.2000,1.799969
FILLER_30_113,VPWR,li1,60.2600,95.2000,1.799971
FILLER_30_105,VPWR,li1,54.5100,95.2000,1.799975
FILLER_30_98,VPWR,li1,51.2900,95.2000,1.799977
FILLER_30_93,VPWR,li1,48.5300,95.2000,1.799978
FILLER_30_85,VPWR,li1,46.4600,95.2000,1.799979
FILLER_30_77,VPWR,li1,41.6300,95.2000,1.799983
FILLER_30_69,VPWR,li1,38.1800,95.2000,1.799984
FILLER_30_57,VPWR,li1,34.5000,95.2000,1.799987
FILLER_30_53,VPWR,li1,30.5900,95.2000,1.799989
FILLER_30_41,VPWR,li1,27.1400,95.2000,1.799991
FILLER_30_29,VPWR,li1,21.6200,95.2000,1.799994
FILLER_30_27,VPWR,li1,18.1700,95.2000,1.799994
FILLER_30_15,VPWR,li1,15.1800,95.2000,1.799994
FILLER_30_3,VPWR,li1,9.6600,95.2000,1.799994
FILLER_29_181,VPWR,li1,89.7000,89.7600,1.799921
FILLER_29_169,VPWR,li1,86.0200,89.7600,1.799921
FILLER_29_167,VPWR,li1,82.5700,89.7600,1.799921
FILLER_29_163,VPWR,li1,81.4200,89.7600,1.799921
FILLER_29_139,VPWR,li1,69.6900,89.7600,1.799930
FILLER_29_123,VPWR,li1,63.0200,89.7600,1.799937
FILLER_29_111,VPWR,li1,56.8100,89.7600,1.799944
FILLER_29_98,VPWR,li1,51.5200,89.7600,1.799951
FILLER_29_92,VPWR,li1,48.0700,89.7600,1.799957
FILLER_29_69,VPWR,li1,37.4900,89.7600,1.799968
FILLER_29_57,VPWR,li1,34.5000,89.7600,1.799971
FILLER_29_55,VPWR,li1,31.0500,89.7600,1.799977
FILLER_29_51,VPWR,li1,29.9000,89.7600,1.799977
FILLER_29_39,VPWR,li1,26.2200,89.7600,1.799981
